variant,keypair,sign,verify,algorithm,level
SPHINCS+-SHA2-128s-simple,1064.2051696777344,8088.86456489563,7.992982864379883,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.9856586456299,8088.949680328369,7.92384147644043,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8183612823486,8090.209722518921,8.14962387084961,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7799758911133,8090.737104415894,8.540153503417969,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.5576972961426,8088.690519332886,7.998228073120117,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4219646453857,8088.01794052124,7.707357406616211,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7407302856445,8088.74249458313,7.911443710327148,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4169578552246,8089.317083358765,7.874011993408203,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.218116760254,8088.642120361328,7.761240005493164,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4572505950928,8089.105129241943,8.260726928710938,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.2098445892334,8089.783430099487,8.719921112060547,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.577558517456,8090.559005737305,8.117437362670898,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.9428157806396,8090.435981750488,8.186101913452148,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.1942749023438,8087.998867034912,7.6751708984375,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.8964176177979,8088.500499725342,8.10098648071289,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.514232635498,8089.026689529419,7.498741149902344,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3184909820557,8089.318037033081,8.310794830322266,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.377857208252,8088.794231414795,8.47315788269043,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3294582366943,8089.6852016448975,7.987737655639648,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.6638660430908,8090.028524398804,7.927417755126953,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7930889129639,8091.405868530273,8.118152618408203,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.946153640747,8088.915586471558,8.436203002929688,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2538795471191,8088.595867156982,8.478403091430664,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4520053863525,8088.537693023682,8.066177368164062,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.244104385376,8088.219404220581,8.167743682861328,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4255409240723,8088.8543128967285,7.980585098266602,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4686946868896,8088.704824447632,8.050918579101562,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5666847229004,8088.439226150513,8.236408233642578,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7542266845703,8091.362953186035,8.10098648071289,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7756843566895,8089.258432388306,8.398294448852539,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.6015663146973,8089.975118637085,7.836818695068359,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3904933929443,8089.123010635376,8.369207382202148,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4055137634277,8090.508460998535,8.205175399780273,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.382863998413,8089.728832244873,8.013010025024414,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.8563632965088,8089.167833328247,8.429765701293945,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.326120376587,8088.552474975586,7.979393005371094,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.5529289245605,8089.59698677063,8.175373077392578,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.6612434387207,8090.676069259644,8.328914642333984,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.9490146636963,8091.199636459351,8.39853286743164,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.8173351287842,8089.084625244141,7.544040679931641,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5201930999756,8090.870380401611,8.171796798706055,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5302066802979,8088.448524475098,8.377790451049805,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.330888748169,8089.218378067017,8.10861587524414,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3525848388672,8087.918043136597,8.691787719726562,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.8372898101807,8087.717294692993,8.115768432617188,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.706708908081,8090.373992919922,8.348226547241211,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.697006225586,8090.622663497925,8.095741271972656,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.819314956665,8088.536739349365,7.645845413208008,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.910722732544,8089.834213256836,7.885456085205078,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5132789611816,8089.226722717285,7.941246032714844,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.511848449707,8089.207410812378,7.939577102661133,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1064.0990734100342,8088.731288909912,7.667303085327148,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.185453414917,8090.639591217041,8.333444595336914,sphincs-sha-s,1
