variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify
Dilithium2,0.4240140199661255,0.0368188523939187,1.1596374034881591,0.6591949794726781,0.4089500904083252,0.028467610009109776
Dilithium3,0.7075082302093506,0.044377515576832616,1.7703657627105713,0.9837345243085909,0.6496438026428223,0.038608389687286054
Dilithium5,1.1461802482604981,0.05542948159004422,2.303110933303833,1.0399506900184252,1.0886830329895019,0.04926057679292214
Falcon-1024,122.4873569726944,31.554463253537886,2.9219233751297,0.11487687139327868,0.5326205730438233,0.03484384758841009
Falcon-512,44.2901576757431,13.14466354943364,1.4695270299911498,0.09177598392060148,0.2939622402191162,0.030528662111671954
Falcon-padded-1024,122.27184669971466,31.054262394786086,2.9369964838027953,0.13646937039105367,0.530305290222168,0.03286938665357172
Falcon-padded-512,44.359656023979184,12.950438594690995,1.46618812084198,0.09483421478584393,0.29107644557952883,0.02744321472210921
MAYO-2,4.968898916244507,0.0619725675444388,6.662604188919067,0.12386713356641328,2.0713936567306517,0.13445950952871366
MAYO-3,8.32544710636139,0.07542075547282115,18.09098651409149,0.23772982828611874,6.45749192237854,0.2675879181855146
MAYO-5,21.527530789375305,0.12419596734803355,46.626048707962035,0.38951780366538513,16.58828122615814,0.6497536608050621
ML-DSA-44,0.6350990056991577,0.03637220523976047,3.2505236864089966,2.1469621285864027,0.7201246976852417,0.03522886593111678
ML-DSA-65,1.0083292484283448,0.047570094547494335,5.2521590948104855,3.706817509808158,1.0915210008621217,0.045535607813389896
ML-DSA-87,1.5743036985397338,0.054603058487263,6.164644694328308,3.8811163230001946,1.6973382949829101,0.05199092910660654
P-256,0.2878704309463501,0.0736996021613763,0.5165385484695435,0.10345101475803452,1.3826934814453125,0.1852421227730292
P-384,1.1295847177505494,0.058087912100391347,1.9093329668045045,0.09309815088238232,5.379691624641419,0.16503255260145624
P-521,1.695422077178955,0.06672516723203623,3.370083546638489,0.10958235404045726,9.287851190567016,0.20637421843849335
cross-rsdp-128-balanced,0.2397113561630249,0.022016480040443973,7.0060269117355345,0.09956274828477685,4.181728744506836,0.0725008247331986
cross-rsdp-128-fast,0.20861306190490722,0.027410544907813795,3.944163942337036,0.07480343662484552,2.2955191850662233,0.05770910404752679
cross-rsdp-128-small,0.276021671295166,0.023961000947688254,26.159234404563904,0.18796287217967397,15.452617430686951,0.12963140515921537
cross-rsdp-192-balanced,0.40800659656524657,0.023559604420744635,16.497720384597777,0.17593008173795982,8.89333393573761,0.09927581257045344
cross-rsdp-192-fast,0.3957045316696167,0.02586001509673843,9.471755456924438,0.132670547414618,5.511605358123779,0.08518595286697515
cross-rsdp-192-small,0.4193330526351929,0.03012687206449955,38.596215915679934,0.25245334964140154,20.626924753189087,0.16965283486670843
cross-rsdp-256-balanced,0.6245062828063965,0.03142751563636618,31.216641545295715,0.23184153284871006,15.54235918521881,0.15306882177585654
cross-rsdp-256-fast,0.6179227113723755,0.028716114222810302,19.203143620491026,0.19228642642584154,11.145869016647339,0.13855613728263658
cross-rsdp-256-small,0.6202139616012573,0.029842469191778038,58.98765053749084,0.33385429393948335,27.6715128660202,0.21052978497658426
cross-rsdpg-128-balanced,0.16144983768463134,0.02346852768773925,5.602870464324951,0.08540630480120434,3.5667728185653687,0.0664083015357402
cross-rsdpg-128-fast,0.13275718688964844,0.027787586083249525,3.0376258373260496,0.06442770084491016,1.8520777225494385,0.04872091532081901
cross-rsdpg-128-small,0.2096397876739502,0.020885065394728224,19.72229461669922,0.16860009581834737,12.807717895507812,0.11773804110400143
cross-rsdpg-192-balanced,0.2369431734085083,0.022438052110924908,8.20424680709839,0.11561491324943605,5.214383339881897,0.08900632295222977
cross-rsdpg-192-fast,0.22785630226135253,0.02229669562642328,6.523646259307862,0.09941490998873316,4.304959416389465,0.08143695651715423
cross-rsdpg-192-small,0.26904194355010985,0.021751084862976337,29.691937828063963,0.21238442334955682,19.18036608695984,0.16065576793315167
cross-rsdpg-256-balanced,0.31563377380371094,0.023218481301947137,14.039586091041565,0.1554755593117786,8.598851609230042,0.11564276779060097
cross-rsdpg-256-fast,0.3132960319519043,0.02293512939840932,10.871557021141053,0.14742966133500313,7.0065298795700075,0.1011659316598089
cross-rsdpg-256-small,0.3264899253845215,0.026180569067711018,38.388836240768434,0.24532452080086056,23.316438674926758,0.18884353253948333
